Precinct_Name,Split_Name,precinct_splitId,Reg_voters,Ballots,Reporting,Contest_id,Contest_title,Contest_party,Choice_id,Candidate_name,Choice_party,Candidate_Type,Absentee_votes,Early_votes,Election_Votes
01-01,,1,2930,1626,1,1,President and Vice President,,1,"(G) STEIN, Jill / BARAKA, Ajamu",,C,32,3,49
01-01,,1,2930,1626,1,1,President and Vice President,,2,"(L) JOHNSON, Gary / WELD, Bill",,C,25,5,35
01-01,,1,2930,1626,1,1,President and Vice President,,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",,C,130,38,179
01-01,,1,2930,1626,1,1,President and Vice President,,4,"(D) CLINTON, Hillary / KAINE, Tim",,C,498,95,470
01-01,,1,2930,1626,1,1,President and Vice President,,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",,C,13,2,5
01-01,,1,2930,1626,1,2,U.S. Senator,,6,"(A) GIUFFRE, John M. (Raghu)",,C,0,0,4
01-01,,1,2930,1626,1,2,U.S. Senator,,7,"(C) ALLISON, Joy J.",,C,7,2,22
01-01,,1,2930,1626,1,2,U.S. Senator,,8,"(D) SCHATZ, Brian",,C,603,107,518
01-01,,1,2930,1626,1,2,U.S. Senator,,9,"(L) KOKOSKI, Michael A.",,C,13,1,17
01-01,,1,2930,1626,1,2,U.S. Senator,,10,"(R) CARROLL, John",,C,88,26,152
01-01,,1,2930,1626,1,5,"U.S. Representative, Dist II",,25,"(D) GABBARD, Tulsi",,C,612,115,593
01-01,,1,2930,1626,1,5,"U.S. Representative, Dist II",,26,"(R) KAAIHUE, Angela Aulani",,C,91,23,122
01-01,,1,2930,1626,1,15,"State Representative, Dist 1",,47,"(D) NAKASHIMA, Mark M.",,C,578,111,539
01-01,,1,2930,1626,1,15,"State Representative, Dist 1",,48,"(R) YOUNG, Byron",,C,116,25,162
01-01,,1,2930,1626,1,45,Hawaii Resident Trustee,,111,"LINDSEY, Robert K. (Bob)",,C,410,91,392
01-01,,1,2930,1626,1,45,Hawaii Resident Trustee,,112,"TRASK, Mililani B.",,C,213,32,215
01-01,,1,2930,1626,1,46,At-Large Trustee,,113,"AKINA, Keli'i",,C,256,58,269
01-01,,1,2930,1626,1,46,At-Large Trustee,,114,"APOLIONA, Haunani",,C,316,54,266
01-01,,1,2930,1626,1,65,CON AMEND: Jury Trials in Civil Cases,,162,NO,,C,299,57,347
01-01,,1,2930,1626,1,65,CON AMEND: Jury Trials in Civil Cases,,163,YES,,C,342,74,309
01-01,,1,2930,1626,1,66,CON AMEND: Disposition of Excess Revenues,,164,NO,,C,278,46,249
01-01,,1,2930,1626,1,66,CON AMEND: Disposition of Excess Revenues,,165,YES,,C,360,76,382
01-01,,1,2930,1626,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,166,YES,,C,440,107,489
01-01,,1,2930,1626,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,167,NO,,C,204,27,171
01-02,,2,934,561,1,1,President and Vice President,,1,"(G) STEIN, Jill / BARAKA, Ajamu",,C,11,2,19
01-02,,2,934,561,1,1,President and Vice President,,2,"(L) JOHNSON, Gary / WELD, Bill",,C,8,2,11
01-02,,2,934,561,1,1,President and Vice President,,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",,C,66,4,67
01-02,,2,934,561,1,1,President and Vice President,,4,"(D) CLINTON, Hillary / KAINE, Tim",,C,175,28,153
01-02,,2,934,561,1,1,President and Vice President,,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",,C,3,0,3
01-02,,2,934,561,1,2,U.S. Senator,,6,"(A) GIUFFRE, John M. (Raghu)",,C,0,0,3
01-02,,2,934,561,1,2,U.S. Senator,,7,"(C) ALLISON, Joy J.",,C,3,0,7
01-02,,2,934,561,1,2,U.S. Senator,,8,"(D) SCHATZ, Brian",,C,208,29,181
01-02,,2,934,561,1,2,U.S. Senator,,9,"(L) KOKOSKI, Michael A.",,C,1,1,9
01-02,,2,934,561,1,2,U.S. Senator,,10,"(R) CARROLL, John",,C,49,4,47
01-02,,2,934,561,1,5,"U.S. Representative, Dist II",,25,"(D) GABBARD, Tulsi",,C,221,28,200
01-02,,2,934,561,1,5,"U.S. Representative, Dist II",,26,"(R) KAAIHUE, Angela Aulani",,C,33,6,47
01-02,,2,934,561,1,15,"State Representative, Dist 1",,47,"(D) NAKASHIMA, Mark M.",,C,193,31,182
01-02,,2,934,561,1,15,"State Representative, Dist 1",,48,"(R) YOUNG, Byron",,C,59,3,59
01-02,,2,934,561,1,45,Hawaii Resident Trustee,,111,"LINDSEY, Robert K. (Bob)",,C,134,20,128
01-02,,2,934,561,1,45,Hawaii Resident Trustee,,112,"TRASK, Mililani B.",,C,79,9,90
01-02,,2,934,561,1,46,At-Large Trustee,,113,"AKINA, Keli'i",,C,84,11,95
01-02,,2,934,561,1,46,At-Large Trustee,,114,"APOLIONA, Haunani",,C,107,14,100
01-02,,2,934,561,1,65,CON AMEND: Jury Trials in Civil Cases,,162,NO,,C,104,17,120
01-02,,2,934,561,1,65,CON AMEND: Jury Trials in Civil Cases,,163,YES,,C,112,16,112
01-02,,2,934,561,1,66,CON AMEND: Disposition of Excess Revenues,,164,NO,,C,87,11,103
01-02,,2,934,561,1,66,CON AMEND: Disposition of Excess Revenues,,165,YES,,C,135,21,123
01-02,,2,934,561,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,166,YES,,C,159,23,161
01-02,,2,934,561,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,167,NO,,C,66,11,67
01-03,,3,1046,620,1,1,President and Vice President,,1,"(G) STEIN, Jill / BARAKA, Ajamu",,C,12,1,8
01-03,,3,1046,620,1,1,President and Vice President,,2,"(L) JOHNSON, Gary / WELD, Bill",,C,10,2,11
01-03,,3,1046,620,1,1,President and Vice President,,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",,C,48,13,58
01-03,,3,1046,620,1,1,President and Vice President,,4,"(D) CLINTON, Hillary / KAINE, Tim",,C,213,46,182
01-03,,3,1046,620,1,1,President and Vice President,,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",,C,2,0,4
01-03,,3,1046,620,1,2,U.S. Senator,,6,"(A) GIUFFRE, John M. (Raghu)",,C,1,1,1
01-03,,3,1046,620,1,2,U.S. Senator,,7,"(C) ALLISON, Joy J.",,C,4,2,7
01-03,,3,1046,620,1,2,U.S. Senator,,8,"(D) SCHATZ, Brian",,C,239,46,193
01-03,,3,1046,620,1,2,U.S. Senator,,9,"(L) KOKOSKI, Michael A.",,C,5,2,7
01-03,,3,1046,620,1,2,U.S. Senator,,10,"(R) CARROLL, John",,C,35,7,41
01-03,,3,1046,620,1,5,"U.S. Representative, Dist II",,25,"(D) GABBARD, Tulsi",,C,245,54,215
01-03,,3,1046,620,1,5,"U.S. Representative, Dist II",,26,"(R) KAAIHUE, Angela Aulani",,C,34,6,37
01-03,,3,1046,620,1,15,"State Representative, Dist 1",,47,"(D) NAKASHIMA, Mark M.",,C,235,48,195
01-03,,3,1046,620,1,15,"State Representative, Dist 1",,48,"(R) YOUNG, Byron",,C,42,10,55
01-03,,3,1046,620,1,45,Hawaii Resident Trustee,,111,"LINDSEY, Robert K. (Bob)",,C,146,24,122
01-03,,3,1046,620,1,45,Hawaii Resident Trustee,,112,"TRASK, Mililani B.",,C,94,25,94
01-03,,3,1046,620,1,46,At-Large Trustee,,113,"AKINA, Keli'i",,C,105,18,103
01-03,,3,1046,620,1,46,At-Large Trustee,,114,"APOLIONA, Haunani",,C,119,25,90
01-03,,3,1046,620,1,65,CON AMEND: Jury Trials in Civil Cases,,162,NO,,C,122,28,104
01-03,,3,1046,620,1,65,CON AMEND: Jury Trials in Civil Cases,,163,YES,,C,138,25,135
01-03,,3,1046,620,1,66,CON AMEND: Disposition of Excess Revenues,,164,NO,,C,124,17,96
01-03,,3,1046,620,1,66,CON AMEND: Disposition of Excess Revenues,,165,YES,,C,134,35,140
01-03,,3,1046,620,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,166,YES,,C,200,41,177
01-03,,3,1046,620,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,167,NO,,C,65,13,69
01-04,,4,331,218,1,1,President and Vice President,,1,"(G) STEIN, Jill / BARAKA, Ajamu",,C,2,0,7
01-04,,4,331,218,1,1,President and Vice President,,2,"(L) JOHNSON, Gary / WELD, Bill",,C,7,1,2
01-04,,4,331,218,1,1,President and Vice President,,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",,C,13,11,24
01-04,,4,331,218,1,1,President and Vice President,,4,"(D) CLINTON, Hillary / KAINE, Tim",,C,61,20,63
01-04,,4,331,218,1,1,President and Vice President,,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",,C,0,0,1
01-04,,4,331,218,1,2,U.S. Senator,,6,"(A) GIUFFRE, John M. (Raghu)",,C,0,0,1
01-04,,4,331,218,1,2,U.S. Senator,,7,"(C) ALLISON, Joy J.",,C,0,0,2
01-04,,4,331,218,1,2,U.S. Senator,,8,"(D) SCHATZ, Brian",,C,67,22,69
01-04,,4,331,218,1,2,U.S. Senator,,9,"(L) KOKOSKI, Michael A.",,C,2,1,2
01-04,,4,331,218,1,2,U.S. Senator,,10,"(R) CARROLL, John",,C,14,8,16
01-04,,4,331,218,1,5,"U.S. Representative, Dist II",,25,"(D) GABBARD, Tulsi",,C,68,26,69
01-04,,4,331,218,1,5,"U.S. Representative, Dist II",,26,"(R) KAAIHUE, Angela Aulani",,C,13,6,20
01-04,,4,331,218,1,15,"State Representative, Dist 1",,47,"(D) NAKASHIMA, Mark M.",,C,58,24,60
01-04,,4,331,218,1,15,"State Representative, Dist 1",,48,"(R) YOUNG, Byron",,C,18,7,22
01-04,,4,331,218,1,45,Hawaii Resident Trustee,,111,"LINDSEY, Robert K. (Bob)",,C,42,15,34
01-04,,4,331,218,1,45,Hawaii Resident Trustee,,112,"TRASK, Mililani B.",,C,21,8,43
01-04,,4,331,218,1,46,At-Large Trustee,,113,"AKINA, Keli'i",,C,29,10,43
01-04,,4,331,218,1,46,At-Large Trustee,,114,"APOLIONA, Haunani",,C,25,8,25
01-04,,4,331,218,1,65,CON AMEND: Jury Trials in Civil Cases,,162,NO,,C,34,16,49
01-04,,4,331,218,1,65,CON AMEND: Jury Trials in Civil Cases,,163,YES,,C,46,15,43
01-04,,4,331,218,1,66,CON AMEND: Disposition of Excess Revenues,,164,NO,,C,24,10,30
01-04,,4,331,218,1,66,CON AMEND: Disposition of Excess Revenues,,165,YES,,C,53,19,56
01-04,,4,331,218,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,166,YES,,C,51,22,68
01-04,,4,331,218,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,167,NO,,C,31,8,23
01-05,,5,1850,1098,1,1,President and Vice President,,1,"(G) STEIN, Jill / BARAKA, Ajamu",,C,19,3,20
01-05,,5,1850,1098,1,1,President and Vice President,,2,"(L) JOHNSON, Gary / WELD, Bill",,C,13,6,17
01-05,,5,1850,1098,1,1,President and Vice President,,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",,C,90,52,106
01-05,,5,1850,1098,1,1,President and Vice President,,4,"(D) CLINTON, Hillary / KAINE, Tim",,C,361,81,299
01-05,,5,1850,1098,1,1,President and Vice President,,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",,C,7,1,6
01-05,,5,1850,1098,1,2,U.S. Senator,,6,"(A) GIUFFRE, John M. (Raghu)",,C,0,0,5
01-05,,5,1850,1098,1,2,U.S. Senator,,7,"(C) ALLISON, Joy J.",,C,7,2,11
01-05,,5,1850,1098,1,2,U.S. Senator,,8,"(D) SCHATZ, Brian",,C,405,92,326
